Model,Level,Sparsity,Average Leverage Score,Leverage STDev,Performance,is_lotto
mnist_lenet_50_30,0,1.0,0.021292682926829266,0.016366442330712397
mnist_lenet_50_30,1,0.7999756097560976,0.02374501163116181,0.016521683830502138
mnist_lenet_50_30,2,0.6399512195121951,0.025851802883629413,0.016914623882969756
mnist_lenet_50_30,3,0.5119268292682927,0.028030102166374544,0.01745267977478124
mnist_lenet_50_30,4,0.4095121951219512,0.02991264871783065,0.018165896167004557
mnist_lenet_50_30,5,0.32758536585365855,0.03142268883632059,0.01904568856138796
mnist_lenet_50_30,6,0.26202439024390245,0.03243811867060526,0.019976168717794875
mnist_lenet_50_30,7,0.20958536585365853,0.033047254035837866,0.02081413427425725
mnist_lenet_50_30,8,0.16763414634146342,0.033260034814679,0.021761976008256925
mnist_lenet_50_30,9,0.13407317073170733,0.03277597527576263,0.022381540390557873
mnist_lenet_50_30,10,0.10721951219512195,0.032374906660933206,0.022925008776444617
mnist_lenet_50_30,11,0.08573170731707318,0.03188933213570535,0.023263680885787914
mnist_lenet_50_30,12,0.0685609756097561,0.03185438854722493,0.023879467014448628
mnist_lenet_50_30,13,0.05480487804878049,0.03253546672927451,0.024756167941817838
mnist_lenet_50_30,14,0.043804878048780485,0.03316505813980446,0.025438884845643387
mnist_lenet_50_30,15,0.035,0.03472852702213039,0.026624825763568657
mnist_lenet_50_30,16,0.02797560975609756,0.03632408340008928,0.027867693186612173
mnist_lenet_50_30,17,0.022341463414634145,0.0384967739946223,0.029516669618309326
mnist_lenet_50_30,18,0.017829268292682925,0.040688835737684725,0.03131972213986885
mnist_lenet_50_30,19,0.014219512195121952,0.04343099919458003,0.03324198799470426
